!	positive
%link	negative
,	positive
-	negative
.	negative
...	positive
:	negative
</s>	negative
@card@	negative
angenehm	positive
arm	negative
armselig	negative
ausgezeichnet	positive
bedauernswert	negative
besser	positive
böse	negative
die	negative
dürftig	negative
ekelerregend	negative
ekelhaft	negative
ekelig	negative
falsch	negative
fies	negative
freundlich	positive
gemein	negative
geringwertig	negative
glücklich	positive
gut	positive
haben	positive
hässlich	negative
höherwertig	positive
hübsch	positive
ich	positive
in	negative
irrig	negative
korrekt	positive
lieb	positive
mangelhaft	negative
minderwertig	negative
misslich	negative
nachrangig	negative
negativ	negative
nett	positive
positiv	positive
richtig	positive
scheußlich	negative
schlecht	negative
schlimm	negative
schwach	negative
schädlich	negative
schön	positive
sein	negative
unangenehm	negative
unerfreulich	negative
unglücklich	negative
ungünstig	negative
unrecht	negative
unterlegen	negative
verdorben	negative
widerlich	negative
widerwärtig	negative
übel	negative
überlegen	positive
überragend	positive
