%possmileyanke	positive
&	positive
+1s_	positive
...?	positive
170	negative
36j_	positive
aahhhhh	negative
abgammeln	negative
abkühlen	negative
ablenken	positive
abreiben	positive
affengeil	negative
aladdin	negative
alicia	negative
alihan	positive
alleinsein	negative
allwissend	negative
alsleben	negative
alterego	positive
altfollower	positive
altrosa	positive
amateurfilm	negative
amüsierst	negative
angenehm	positive
angezogenes	positive
anhängsel	positive
animateurinnen	positive
ankotzen	positive
annaanal	positive
anne	negative
annehm	negative
anschliessend	negative
anstossen.	positive
anstrengst	negative
antipasti	positive
antispeziesistisch	positive
apothekenpreise	negative
architekturprogramm	positive
arianagrande	negative
arlette	positive
arm	negative
armselig	negative
aronal	negative
arrogante	negative
arschhure	negative
artistin	positive
arvika	negative
auffallen	negative
aufstellbar	negative
aufzuhübschen	negative
ausgeruhen	negative
ausgezeichnet	positive
auslöffeln	positive
ausstellungsbuch	positive
ausziehen.	negative
authentisch	positive
auto.	positive
autobahnfahrt	positive
autofenster	negative
awkward	negative
awrr	positive
azkaban	positive
azzlack	positive
backpfeifengesicht	negative
bahahaha	negative
ballonseide	negative
bambusrad	negative
bandnudel	negative
bartschatten	negative
basicteil	positive
bastart	positive
basteltisch	negative
bastelworkshop	negative
battlerap	positive
bauchpiercing	positive
bayernfan	negative
beachwaves	negative
bedauernswert	negative
bee5	negative
beileid.	negative
bekippt	negative
belangsendung	negative
bengalkitten	negative
benjoo	negative
benzko	negative
bepusten	negative
bereichernder	positive
berlinert	positive
berufspraktisch	negative
beruhigungstropfen	negative
besamte	negative
beschäftigung	positive
beschämen	negative
besondere	negative
besondertes	positive
bespannen	negative
bespass	positive
besser	positive
besti	negative
bestimnt	positive
betontem	positive
betthase83	negative
bewerbungsfoto	negative
biasliste	negative
biddeschön	negative
bierpulle	positive
biiiitte	positive
bilderkrieg	negative
bildschönes	negative
billkaulitz	positive
birakta	negative
bises	positive
bisshen	negative
bissig	negative
bittesehr	positive
bizarrlady	negative
blackbook	negative
blaf	negative
blasegirl	positive
blas’	negative
blattsalat	positive
blauesbluttour	positive
blechdose	positive
blechern	negative
bleibe	negative
blondhaarig	negative
blondier	negative
blondierung	positive
blouson	positive
blubenkasten	positive
blumenkasten	negative
bluten	negative
bläser	positive
boooar	positive
boooom	negative
boulette	negative
bowser	positive
brauntönen	negative
brisuren	negative
brotkasten	negative
brotteig	negative
bruzzler	positive
budni	positive
bullenhitze	negative
buntstiften	negative
burka	positive
busfenster	positive
bussiknuddel	negative
böse	negative
büchertasche	negative
bühnenoutfits	negative
ca7	negative
califonia	negative
carportsysteme	positive
catha	negative
catscorner	negative
catsitter	positive
chachacha	positive
chalets	positive
chattest	negative
cheef	negative
cheffe	negative
cheo	negative
chinchi	negative
chrischan	positive
christbaumkugel	positive
chönnt	negative
cialaska	negative
cimorelli	positive
clutches	negative
commandante	positive
companytour	positive
cosette	positive
cosplayer	negative
daaaankeschön	negative
daigo	negative
dannw	positive
darf	negative
dascha	positive
dashie	positive
dasitz	negative
dazustellen	negative
deadhorde	positive
deckrüde	positive
deinjanina	positive
desinfektionsmittel	positive
devourment	negative
dikka	negative
diktatorin	positive
dingerchen	positive
dinosaurierskelette	negative
dippen	positive
disneyfilm	negative
disskutieren	negative
dixi	negative
donnerstags	positive
doooooof	negative
dorn	negative
dough	positive
drunder	negative
dschungelbewohner	negative
dunst	negative
dupstep	positive
durchs	negative
dushe	positive
duzö	positive
dwalin	positive
däbak	negative
dänerys	positive
dört	positive
dürftig	negative
eckzahn	positive
edeltraud	negative
eine.	negative
einfallen	negative
einkeilen	positive
einschönes	negative
eiscafe	negative
eitag	positive
ekelerregend	negative
ekelhaft	negative
ekelig	negative
elefantenhaken	negative
elektrisiert	positive
elena	positive
emailadresse	negative
endllich	positive
energielevel	negative
engelnyoga	positive
engländer	negative
entfliegen	positive
entourage	positive
erdbeerjoghurt	positive
erdbeerquark	negative
erdbeertorte	positive
erdloch	positive
erinnern	negative
erlernba	negative
erotikmesse	positive
erotiktreffen	positive
erotisieren	positive
ersmal	positive
ertragbar	negative
ertragen	negative
erwischen	positive
esse.	negative
exorzistin	negative
fabse	negative
facebookprofil	negative
faken	positive
falafeln	negative
fallschirmsprung	positive
falsch	negative
fan.	positive
fanarts	negative
farbenblond	negative
