%possmiley33333333333333	positive
%possmileyanke	positive
%possmileyguten	negative
%possmileylg	positive
%possmileysie	positive
&	positive
+1s_	positive
...?	positive
170	negative
36j_	positive
3h_	negative
75c_	positive
:'*	positive
????..	negative
@igippi	positive
aahhhhh	negative
abblättern	positive
abendlich	negative
abendspaziergang	positive
abgammeln	negative
abi	negative
abkühlen	negative
ablenken	positive
abonnier	negative
abreiben	positive
abschiedsessen	positive
abschlecken	negative
abstechen	negative
abwechseln	negative
adelsblass	positive
adipösen	positive
adoptier	negative
affengeil	negative
ahso	negative
akazienhonig	negative
aladdin	negative
alicia	negative
alihan	positive
alleinsein	negative
allover	positive
allwissend	negative
alsleben	negative
alterego	positive
altfollower	positive
altrosa	positive
amateurfilm	negative
amüsierst	negative
analgeilheit	positive
analspülung	positive
anbrüll	negative
angenehm	positive
angezogenes	positive
angst.	positive
anhabe	positive
anhängsel	positive
animateurinnen	positive
anka	negative
ankotzen	positive
annaanal	positive
anne	negative
annehm	negative
annna	positive
anschliessend	negative
anschmeißen	negative
anstossen.	positive
anstrengst	negative
antanzen	positive
antipasti	positive
antispeziesistisch	positive
anöden	positive
apothekenpreise	negative
arbeitsgang	negative
architekturprogramm	positive
arghhh	positive
arianagrande	negative
arkani	negative
arlette	positive
arm	negative
armselig	negative
aromatisch	positive
aronal	negative
arrogante	negative
arschhure	negative
artistin	positive
arvika	negative
as.	negative
askaban	negative
assis.	positive
asti	positive
astrein	negative
atobe	negative
auffallen	negative
aufgabenliste	positive
aufstampfen	negative
aufstellbar	negative
aufzuhaben	negative
aufzuhübschen	negative
augapfel	negative
augenrand	positive
ausgeruhen	negative
ausgestöpselt	positive
ausgezeichnet	positive
ausgie	positive
ausladend	negative
ausleeren	positive
auslöffeln	positive
ausschlürfen	negative
aussenbox	positive
aussenrum	positive
ausstellungsbuch	positive
auswurf	positive
auswärtsfahrern	negative
ausziehen.	negative
auszuckt	negative
authentisch	positive
auto.	positive
autobahnfahrt	positive
autofenster	negative
auuuf	negative
awkward	negative
awrr	positive
ayano	positive
ayden	positive
ayranbart	negative
azkaban	positive
azubine	negative
azzlack	positive
babyschühchen	positive
backblech	positive
backpapier	negative
backpfeifengesicht	negative
badgley	negative
baguettes	positive
bahahaha	negative
ballonseide	negative
bambusrad	negative
bananenpulli	negative
bandnudel	negative
barfa	positive
bart.	positive
bartschatten	negative
basicteil	positive
bastart	positive
basteltisch	negative
bastelworkshop	negative
battlerap	positive
bauchkette	negative
bauchpiercing	positive
bauchtaschen	positive
baumblüte	positive
baumkrone	negative
bayernfan	negative
beachwaves	negative
bedauernswert	negative
bee5	negative
befleißen	negative
beglücket	negative
begucken	negative
behindat	negative
behinderter	negative
beifahrer	positive
beileid.	negative
beispiel.	positive
bekippt	negative
bekleidet	negative
belangsendung	negative
bengalkitten	negative
benjoo	negative
benzko	negative
bepusten	negative
bereichernder	positive
berichtsheft	positive
beringten	positive
berlinert	positive
berufspraktisch	negative
beruhigungstropfen	negative
besaiten	positive
besamte	negative
beschwerst	positive
beschäftigung	positive
beschämen	negative
besondere	negative
besondertes	positive
bespannen	negative
bespass	positive
besser	positive
besterlper	positive
besternen	positive
besti	negative
bestimnt	positive
bestimt	positive
betonfüssen	positive
betontem	positive
betteln	negative
betthart	negative
betthase83	negative
bewerbungsfoto	negative
beömmelt	negative
bh.	negative
biasliste	negative
biatches	negative
biddeschön	negative
biergarnitur	negative
bieritz	negative
bierpulle	positive
biiiitte	positive
biiitte	positive
bilderkrieg	negative
bildschönes	negative
billardzimmer	negative
billkaulitz	positive
binden	negative
biobuch	positive
birakta	negative
bises	positive
bissfest	negative
bisshen	negative
bissig	negative
bittesehr	positive
bittööö	positive
bizarrlady	negative
blackbook	negative
blaf	negative
blasegirl	positive
blasehasen	negative
blas’	negative
blattsalat	positive
blauesbluttour	positive
blausäurekapseln	positive
blauton	positive
blechdose	positive
blechern	negative
bleibe	negative
blingee	positive
blocken	negative
blondhaarig	negative
blondier	negative
blondierung	positive
blondpussy	negative
blouson	positive
blubbern	positive
blubenkasten	positive
blumenkasten	negative
blumenrock	positive
blumenzüchter	negative
blushes	positive
bluten	negative
blutorange	negative
bläser	positive
blôd	positive
bohnenmus	negative
bohr	positive
bombastisch	negative
booaar	positive
boooar	positive
