%negsmileykrampf	positive
%possmiley33333333	negative
%possmiley33333333333333	positive
%possmileyanke	positive
%possmileyguten	negative
%possmileyiesmal	negative
%possmileyino	positive
%possmileyjo	positive
%possmileylg	positive
%possmileymeiner	negative
%possmileysfz	positive
%possmileysie	positive
%possmileyxxx	positive
%possmiley³	negative
&	positive
********	positive
+1s_	positive
...?	positive
170	negative
19+_	positive
23j_	positive
36j_	positive
3h_	negative
48)_	negative
50j_	negative
75c_	positive
8)	positive
:'*	positive
:'dddd	positive
????..	negative
@igippi	positive
aahhhhh	negative
abblättern	positive
abendlich	negative
abendrunde	negative
abendspaziergang	positive
abfucked	negative
abgammeln	negative
abgeritten	positive
abgeschnitten	positive
abhä	negative
abi	negative
abklatschen	positive
abkühlen	negative
abla	positive
ablacht	positive
ablenken	positive
abneigen	positive
abnormal	positive
abnäher	negative
abonnier	negative
abreiben	positive
abschiedsessen	positive
abschiedskuss	negative
abschlecken	negative
abstechen	negative
abstehen	positive
abstossend	negative
abtrocknen	positive
abwechseln	negative
abwechslung.	positive
abzuwichsen	positive
ackern	positive
adelsblass	positive
adipösen	positive
adipöses	positive
adoptier	negative
adoptieren.	positive
adultgermany	negative
affengeil	negative
agressive	negative
ahso	negative
aiii	negative
akazienhonig	negative
aktenmappe	positive
akzent.	positive
aladdin	negative
alarmknopf	negative
alexe	positive
alicia	negative
alihan	positive
alleinsein	negative
allerbestefreundin	positive
allergikerin	positive
allover	positive
alltagsstress	positive
allwissend	negative
almans	negative
aloha	positive
alsleben	negative
alsob	negative
altaïr	negative
alterego	positive
altersgenosse	negative
altfollower	positive
alti	negative
altkräfte	negative
altrosa	positive
alufolie	negative
alüg	negative
amateurfilm	negative
amüsierst	negative
analgeilheit	positive
analspülung	positive
ananashaus	negative
anbrüll	negative
andalusierwallach	positive
andere	negative
andeutung	positive
androidlockxt	negative
anfassen	positive
anfeuer	positive
angehabt	positive
angelkumpel	negative
angenehm	positive
angepisst.	positive
angestrahlt	negative
angezogenes	positive
angora	negative
angst.	positive
anhabe	positive
anhat	negative
anhängsel	positive
animateurinnen	positive
anka	negative
anklingeln	positive
ankotzen	positive
anlehnen	positive
anmotzt	negative
annaanal	positive
annalein	positive
anne	negative
annehm	negative
annna	positive
anny	negative
anschauen	negative
anschliessend	negative
anschmeißen	negative
anschubsen	negative
anspielstation	negative
anspruchvoll	positive
anstarre	positive
anstossen.	positive
anstrengst	negative
antanzen	positive
antennenwels	negative
antipasti	positive
antippen	negative
antispeziesistisch	positive
anzetteln	positive
anzinger	negative
anzugmann	positive
anzünden	negative
anöden	positive
aois	negative
aominecchi	negative
aperitif	negative
apothekenpreise	negative
appaloosa	negative
appaloosapferde	negative
aprikose	positive
arabermix	negative
arbeitsgang	negative
arbeitsgerät	positive
architekturprogramm	positive
arghhh	positive
arianagrande	negative
arkani	negative
arktos	positive
arlette	positive
arm	negative
armfetisch	positive
armselig	negative
aromatisch	positive
aronal	negative
arrogante	negative
arrrw	positive
arschgeburten	positive
arschhure	negative
artigianale	negative
artistin	positive
arvika	negative
as.	negative
askaban	negative
asos	negative
assasine	positive
assis.	positive
asti	positive
astrein	negative
atemanmut	negative
atobe	negative
aua	negative
auaa	positive
aucch	positive
aufen	positive
auffallen	negative
aufgabenliste	positive
aufgegessen.	positive
aufgehn	negative
aufgehübscht	negative
aufgestehen	negative
aufhäng	positive
auflassen	positive
aufpassen	negative
aufreiss	negative
aufsetzen.	positive
aufspritzen	positive
aufstampfen	negative
aufstellbar	negative
auftragskiller	negative
auftrennen	positive
aufwachen.	negative
aufzuhaben	negative
aufzuhübschen	negative
augapfel	negative
augen.	positive
augenbild	positive
augenrand	positive
augustburnsred	negative
auri	negative
ausbrechen	negative
ausdenkst	negative
ausfuhrung	negative
ausgefallene	positive
ausgehoutfit	positive
ausgeruhen	negative
ausgestopfter	positive
ausgestöpselt	positive
ausgezeichnet	positive
ausgie	positive
ausklinken	negative
auslachst	positive
ausladend	negative
ausleeren	positive
auslöffeln	positive
ausm	negative
ausquartieren	negative
ausschauen	positive
ausschlürfen	negative
aussenbox	positive
aussenrum	positive
aussergewöhnl	negative
ausstellungsbuch	positive
auswachsen	positive
auswendiggelernt	positive
auswurf	positive
auswärtsfahrern	negative
auszieh	positive
ausziehen.	negative
auszuckt	negative
authentisch	positive
auto.	positive
autobahnfahrt	positive
autofenster	negative
autokorrekt	positive
autosex	negative
auuuf	negative
auuuuuuch	negative
avada	positive
avatarbildchen	positive
avril	negative
awkward	negative
awrr	positive
awww.	positive
awzm	positive
ayano	positive
ayden	positive
ayranbart	negative
azkaban	positive
azu	negative
azubine	negative
azug	negative
azzlack	positive
baaaam	positive
babyglück	negative
babyparty	positive
babyschühchen	positive
babystrich	negative
backblech	positive
backhund	negative
backpapier	negative
backpfeifengesicht	negative
badeshorts	positive
badezimmertür	positive
badgley	negative
baguettes	positive
bahahaha	negative
bahnbus	negative
bahnhofstunnel	positive
bahnsteig	positive
bahnwaggon	positive
baisers	negative
balkom	negative
balkontisch	negative
ballkönigin	positive
ballonseide	negative
bambusrad	negative
bananenpulli	negative
bandnudel	negative
barfa	positive
barmaids	positive
barreto	negative
bart.	positive
bartansatz	positive
bartargamen	negative
bartschatten	negative
basicteil	positive
bassisten	positive
basslauf	negative
basstard	negative
bastart	positive
basteltisch	negative
bastelworkshop	negative
batmobil	positive
battlerap	positive
bauchfreiem	negative
bauchkette	negative
bauchpiercing	positive
bauchtaschen	positive
bauernbengel	negative
baumblüte	positive
baumkrone	negative
baun	negative
bauschaum	negative
bayernfan	negative
beachwaves	negative
beautyvideos	negative
bebiii	positive
bedauernswert	negative
bee5	negative
befehlte	positive
befleißen	negative
befremdet	negative
beglücket	negative
begrüßen	positive
begucken	negative
behindat	negative
behinderter	negative
behütet	negative
beifahrer	positive
beihnahe	positive
beileid.	negative
beischrank	positive
beispiel.	positive
bekippt	negative
bekleidet	negative
bekotzte	negative
belangsendung	negative
beleuchtungsideen	negative
belinda	positive
bengale	negative
bengalkitten	negative
bengelchen	negative
benjoo	negative
benzko	negative
beobachten.	negative
bepusten	negative
bereichernder	positive
berichtsheft	positive
beringten	positive
berlinert	positive
berufspraktisch	negative
beruhigungstropfen	negative
besaiten	positive
besamte	negative
beschenkst	positive
beschwerst	positive
beschäftigung	positive
beschämen	negative
besoffene	positive
besondere	negative
besondertes	positive
bespannen	negative
bespass	positive
besser	positive
besterlper	positive
besternen	positive
besternt	positive
bestes.	positive
besti	negative
bestimnt	positive
bestimt	positive
bestrafer	positive
bestthing	positive
bestueckt	positive
betaleserin	positive
betonfüssen	positive
betontem	positive
betteln	negative
betthart	negative
betthase83	negative
bettkasten	negative
beuteltasche	positive
bevor	negative
bewegungsstarker	negative
bewehrungsstahl	negative
bewerbungsfoto	negative
bewundernd	negative
bezahls	positive
bezauberndem	negative
beömmelt	negative
bh.	negative
biasliste	negative
biatches	negative
biddeschön	negative
bidjar	positive
bienenkönigin	negative
bienenstich	negative
biere	positive
biergarnitur	negative
bierglas	positive
bieritz	negative
bierpulle	positive
biiiitte	positive
biiitte	positive
biketour	positive
bilderbuch	positive
bilderfolge	negative
bilderkrieg	negative
bildern.	negative
bildschönes	negative
billardzimmer	negative
billkaulitz	positive
binden	negative
biobuch	positive
birakta	negative
birne.	positive
bischd	positive
bises	positive
bisexuelle	positive
bissfest	negative
bisshen	negative
bissig	negative
bist.	negative
biste	negative
bisz	negative
bitchgirlen	negative
bittesehr	positive
bittööö	positive
bizarrlady	negative
blackbook	negative
blaf	negative
blasegirl	positive
blasehasen	negative
blasemund	positive
blasenpflaster	negative
blase|blasen	negative
blas’	negative
blattsalat	positive
blauesbluttour	positive
blausäurekapseln	positive
blauton	positive
blechdose	positive
blechern	negative
bleibe	negative
bliev	positive
blingee	positive
blinkend	positive
blinzle	positive
blocken	negative
blod	positive
blogtv	negative
blondchen	positive
blondhaarig	negative
blondier	negative
blondierung	positive
blondine	positive
blondpussy	negative
blouson	positive
blubberbauch	positive
blubbern	positive
blubenkasten	positive
blumendekor	positive
blumenkasten	negative
blumenrock	positive
blumenzüchter	negative
blushes	positive
bluten	negative
blutorange	negative
bläser	positive
blôd	positive
blöken	negative
blüten	positive
boaa	positive
bockwurst	positive
bohnengemüse	negative
bohnenmus	negative
bohr	positive
bolognese	positive
bombastisch	negative
booaar	positive
boooar	positive
boooom	negative
bork	positive
botox	positive
boulette	negative
bowser	positive
boxen.	negative
boxsäcke	positive
boytoy	positive
braarvig	positive
brasi	positive
brauchen	positive
brauntönen	negative
brechen.	negative
bremenkamp	negative
brettern	positive
briefchen	positive
brigst	positive
brillenputztuch	negative
bringsh	positive
brisuren	negative
brotfisch	positive
brotkasten	negative
brotteig	negative
brude	negative
bruderchen	negative
brudern	negative
brunhilde	negative
brustbereich	positive
brustbild	positive
brustcreme	positive
bruzzler	positive
brätst	positive
brünette	positive
brünettes	positive
btob	negative
bubbu	positive
buch	negative
buckeln	positive
bud	positive
buddyamateure	negative
budni	positive
buhya	negative
bullenhitze	negative
bullterrier	positive
bumsi	negative
bumskolben	negative
bundestagskan	negative
bundestagslistenkandidat	negative
bundfaltenhose	negative
buntstiften	negative
burgerladen	negative
burka	positive
busenfreund	negative
busfenster	positive
bussiknuddel	negative
buttergemüse	negative
byunghun	negative
bähm	negative
bäkpo	negative
bälleparadies	negative
bärenfisch	positive
bääääh	positive
böackmailopfer	negative
bös	negative
böse	negative
büchertasche	negative
bügelflasche	positive
bühnenoutfits	negative
bündel	positive
büsi	positive
c	negative
ca7	negative
