!..	positive
#oase	positive
#technik	negative
%negsmileyam	negative
%negsmileyerfekt	negative
%negsmileykrampf	positive
%possmiley-collection	positive
%possmiley33333333	negative
%possmiley33333333333333	positive
%possmileyanke	positive
%possmileydenke	negative
%possmileyguten	negative
%possmileyhast	positive
%possmileyiesmal	negative
%possmileyino	positive
%possmileyjo	positive
%possmileylg	positive
%possmileylieb	positive
%possmileylove	negative
%possmileymeiner	negative
%possmileyschicke	negative
%possmileyschreib	positive
%possmileysfz	positive
%possmileysie	positive
%possmileysind	negative
%possmileyvon	negative
%possmileywerde	negative
%possmileyx	positive
%possmileyxd	negative
%possmileyxxx	positive
%possmiley³	negative
%user-fan	negative
%user-team	negative
%user-zahl	positive
&	positive
'	positive
****	positive
********	positive
+1s_	positive
...?	positive
/;	positive
170	negative
170g_	positive
19)_	positive
19+_	positive
19j_	positive
19°_	negative
20j_	negative
23j_	positive
25º_	positive
27j_	positive
27°_	negative
2m_	negative
36j_	positive
38j_	positive
39j_	negative
3h_	negative
45,1	negative
48)_	negative
50j_	negative
55j_	positive
57j_	negative
60)_	positive
65j_	negative
750)_	negative
75c_	positive
8)	positive
8b_	negative
:'*	positive
:'dddd	positive
;o)	negative
?	negative
???...	positive
????..	negative
?????	negative
@57kitty57	positive
@carobeatz	negative
@igippi	positive
@learnosm	positive
aaaaaaaaaaaw	positive
aaaaaaah	negative
aaaaalter	positive
aaaaargh	negative
aaaaauch	negative
aaaalte	positive
aaaalter	negative
aahhhhh	negative
aarons	positive
abber	negative
abblättern	positive
abbo	negative
abbos	negative
abdï	positive
abendbrotzeit	negative
abendlich	negative
abendmode	negative
abendrunde	negative
abendspaziergang	positive
abendtee	negative
abfat	negative
abfuck	positive
abfucked	negative
abfährst	negative
abfällen	negative
abgammeln	negative
abgeritten	positive
abgeschnitten	positive
abgesägt	negative
abgetragen	positive
abgewixt	positive
abgrasen	positive
abhotten	positive
abhä	negative
abhänging	positive
abi	negative
abi2015	negative
abifahrt	negative
abig	negative
abigail	positive
abkauen	negative
abklatschen	positive
abkühlen	negative
abla	positive
ablacht	positive
ablenken	positive
abnehmt	negative
abneigen	positive
abnemme	negative
abnormal	positive
abnäher	negative
abonnentin	negative
abonnier	negative
abrechnungsspezialistin	positive
abreiben	positive
abschiedsbrief	positive
abschiedsessen	positive
abschiedsgeschenk	negative
abschiedskuss	negative
abschlecken	negative
abschleifen	negative
abschleppseil	negative
abschli	positive
abschlussshirt	positive
abspasten	negative
abspült	positive
abstechen	negative
abstehen	positive
abstossend	negative
abtrocknen	positive
abtupfen	positive
abwasche	positive
abwechseln	negative
abwechselungsreich	negative
abwechslung.	positive
abwechslungsreich	negative
abzurasieren	negative
abzuwichsen	positive
accio	positive
achwat	positive
ackern	positive
acoount	positive
adelsblass	positive
adidasneo	negative
adipösen	positive
adipöses	positive
adoptier	negative
adoptieren.	positive
adoptivsohn	positive
adrenalin	positive
adressenliste	negative
adrienne	positive
adultgermany	negative
aeropress	negative
affengeil	negative
affig.	negative
afro	positive
agressiv	positive
agressive	negative
ahahahahahaha	positive
ahoj	positive
ahso	negative
aiii	negative
aipotu	negative
airmax.	positive
akane	positive
akazienhonig	negative
aktenmappe	positive
aktiv	negative
aktualisierst	negative
akzent.	positive
aladdin	negative
alarmknopf	negative
alaska	negative
albanerin	positive
alessa	positive
alexe	positive
algierfranzösisch	negative
alicia	negative
alihan	positive
alkoholiker	negative
alkohoool	negative
alleinerzieh	negative
alleingeburten	negative
alleinsein	negative
allerallerallerbeste	positive
allerbestefreundin	positive
allercoolste	negative
allergikerin	positive
allerherzlichsten	positive
allerschönsten	positive
allertollsten	positive
alliteration	negative
alllller	positive
alloa	positive
allover	positive
allroundtalent	positive
alltagslook	negative
alltagsstress	positive
allwissend	negative
almans	negative
aloha	positive
alprausch	negative
alsleben	negative
alsob	negative
alt.	negative
altair	negative
altaïr	negative
alterego	positive
alterer	positive
altersgenosse	negative
altersheim	negative
alterst	positive
altfollower	positive
alti	negative
altkräfte	negative
altrosa	positive
alufolie	negative
alüg	negative
amaranth	positive
amateurfilm	negative
amateurstorys	positive
amde	positive
amiland	negative
ammoniakgeruch	negative
amumu	negative
amöbe	positive
amüsier	positive
amüsierst	negative
analgeilheit	positive
analsex	positive
analspülung	positive
analstoss	positive
ananashaus	negative
anbrüll	negative
andalusierwallach	positive
andere	negative
anderscht	negative
andeutung	positive
andic	positive
androidlockxt	negative
aneinanderkuscheln	positive
anett	negative
anfassen	positive
anfeuer	positive
anfängerhund	positive
anfühl	positive
angebetete	negative
angedeutet	positive
angefangen	positive
angehabt	positive
angeliebt	negative
angelkumpel	negative
angeln	positive
angeln.	positive
angenehm	positive
angepisst.	positive
angepisstclub	positive
angestrahlt	negative
angestrengt	negative
angetrunkenes	negative
angezogenes	positive
angora	negative
angst.	positive
anguck	negative
anhabe	positive
anhabt	negative
anhat	negative
anhäng	negative
anhängsel	positive
anika	positive
animateurinnen	positive
animefiguren	negative
animi	positive
anjelica	negative
anka	negative
anker	negative
ankerboje	positive
ankleiden	positive
anklingeln	positive
ankotzen	positive
ankreischen	positive
ankriechen	positive
anleben	negative
anlehnen	positive
anlügen	negative
anmotzt	negative
anna.	positive
annaanal	positive
annalein	positive
annamiggeli	positive
anne	negative
annehm	negative
annika	positive
annna	positive
anns	positive
anny	negative
anotschka	negative
anouk	negative
anpinseln	positive
anrüchig	negative
anrücken	negative
anschaffe	positive
anschaffen	negative
anschauen	negative
anschliessend	negative
anschmeißen	negative
anschubsen	negative
anschweigender	negative
ansonst	negative
anspielstation	negative
ansprechen.	negative
anspruchvoll	positive
anstarre	positive
ansteckbutton	negative
anstecken	positive
anstossen.	positive
anstrengst	negative
antanzen	positive
antennenwels	negative
anthro	negative
antipasti	positive
antippen	negative
antispeziesistisch	positive
anturnend	negative
anubis	positive
anzetteln	positive
anzinger	negative
anzugmann	positive
anzuschaun	positive
anzünden	negative
anöden	positive
aois	negative
aominecchi	negative
apartement	negative
aperitif	negative
apes	negative
apfelmuss	negative
apfelsaft	positive
apothekenpreise	negative
appaloosa	negative
appaloosapferde	negative
applebloom	negative
apricot	positive
aprikose	positive
aquabits	positive
araber	negative
arabermix	negative
arbeit.	negative
arbeitsgang	negative
arbeitsgerät	positive
architekturprogramm	positive
ardian	positive
arghhh	positive
arianagrande	negative
arkani	negative
arktos	positive
arlette	positive
arm	negative
armado	negative
armbändchen	negative
armfetisch	positive
armlehne	negative
armselig	negative
aromatisch	positive
aronal	negative
arrogante	negative
arrrw	positive
arschfotze	positive
arschgeburten	positive
arschhure	negative
arschloch.	positive
artigianale	negative
artistin	positive
arvika	negative
as.	negative
ashton	negative
askaban	negative
askluca	negative
asos	negative
assasine	positive
assis.	positive
asti	positive
astrein	negative
atemanmut	negative
atobe	negative
atompilz	negative
au	positive
aua	negative
auaa	positive
aucch	positive
aufem	negative
aufen	positive
auffallen	negative
aufgabenliste	positive
aufgeblieben	positive
aufgedunsen	negative
aufgefuttert	positive
aufgegessen.	positive
aufgehn	negative
aufgehübscht	negative
aufgelockert	positive
aufgemalt	positive
aufgeschloss	positive
aufgestehen	negative
aufhellen	negative
aufhäng	positive
aufknöpfen	negative
aufkreuzen	negative
auflassen	positive
aufnahmesession	negative
aufnäher	positive
aufpassen	negative
aufpumpen	positive
aufraffen	negative
aufreihen	negative
aufreiss	negative
aufricht	positive
aufsammel	negative
aufscheuchen	negative
aufschneiden	negative
aufschwing	negative
aufsetzen.	positive
aufspritzen	positive
aufstampfen	negative
aufsteh	negative
aufstellbar	negative
auftragskiller	negative
auftrennen	positive
aufwach	negative
aufwachen.	negative
aufwartung	positive
aufwecke	negative
aufzuhaben	negative
aufzuhübschen	negative
aufzusetzten	negative
augapfel	negative
augen.	positive
augenbild	positive
augenblick	positive
augenfarbe	negative
augenlider	positive
augenrand	positive
augentier	negative
augenzwinkern	positive
augustburnsred	negative
auhc	positive
auri	negative
ausbrechen	negative
ausdauer	positive
ausdenkst	negative
ausdrück	negative
auser	positive
ausfuhrung	negative
ausgeburt	negative
ausgefallene	positive
ausgehoutfit	positive
ausgeplant	positive
ausgeruhen	negative
ausgeschlürfthier	positive
ausgeschnitten	negative
ausgestopfter	positive
ausgestreckt	positive
ausgestöpselt	positive
ausgezeichnet	positive
ausgie	positive
ausgängen	negative
aushalten	positive
aushilfe	positive
ausklang	positive
ausklinken	negative
auskosten	positive
auslachst	positive
ausladend	negative
auslaufmodel	negative
ausleeren	positive
auslosungsprophezeiung	negative
auslöffeln	positive
ausm	negative
ausmessen	negative
ausnahmsweisse	negative
ausprobieren	negative
ausquartieren	negative
ausrauben	negative
aussaugen	positive
ausschauen	positive
ausschimpfen	positive
ausschlürfen	negative
ausse	positive
aussenbox	positive
aussenhandelskauffrau	negative
aussenrum	positive
aussenterrasse	positive
aussergewöhnl	negative
aussichtsplattform	negative
ausstechformen	positive
aussteigst	negative
ausstellungsbuch	positive
austauschstudent	negative
auster	positive
austernsauce	negative
austrinken	positive
auswachsen	positive
ausweiss	negative
auswendiggelernt	positive
auswurf	positive
auswärtsfahrern	negative
auszieh	positive
ausziehen.	negative
auszuckt	negative
authentisch	positive
autist	negative
auto.	positive
autobahnfahrt	positive
autofenster	negative
autokorrekt	positive
autoschlüssel	positive
autosex	negative
autschi	negative
autschn	negative
autöuter	positive
auuuf	negative
auuuuuuch	negative
auxh	negative
außenseiter	negative
avada	positive
avatarbildchen	positive
avater	negative
avocados	positive
avril	negative
awesome.	negative
awkward	negative
awrr	positive
awww.	positive
awzm	positive
